"config_id","hamming","state","adj_sets","HEE_EC","EC_ED","EC_P","EC_MH","PH_MH","SA_MH","SI_MH","EC_PH"
54,4,"cyclic","","latent","latent","latent","reversed","original","original","original","original"
55,1,"ok","{C,EC,H,T,U}","original","original","original","latent","original","original","original","original"
56,2,"cyclic","","reversed","original","original","latent","original","original","original","original"
57,2,"non-identifiable","","latent","original","original","latent","original","original","original","original"
58,2,"ok","{C,EC,H,T,U}","original","reversed","original","latent","original","original","original","original"
59,3,"cyclic","","reversed","reversed","original","latent","original","original","original","original"
60,3,"non-identifiable","","latent","reversed","original","latent","original","original","original","original"
61,2,"ok","{C,EC,H,T,U}","original","latent","original","latent","original","original","original","original"
62,3,"cyclic","","reversed","latent","original","latent","original","original","original","original"
63,3,"non-identifiable","","latent","latent","original","latent","original","original","original","original"
64,2,"ok","{C,EC,H,P,T,U}","original","original","reversed","latent","original","original","original","original"
65,3,"cyclic","","reversed","original","reversed","latent","original","original","original","original"
66,3,"non-identifiable","","latent","original","reversed","latent","original","original","original","original"
67,3,"ok","{C,EC,H,P,T,U}","original","reversed","reversed","latent","original","original","original","original"
68,4,"cyclic","","reversed","reversed","reversed","latent","original","original","original","original"
69,4,"non-identifiable","","latent","reversed","reversed","latent","original","original","original","original"
70,3,"ok","{C,EC,H,P,T,U}","original","latent","reversed","latent","original","original","original","original"
71,4,"cyclic","","reversed","latent","reversed","latent","original","original","original","original"
72,4,"non-identifiable","","latent","latent","reversed","latent","original","original","original","original"
73,2,"ok","{C,EC,H,P,T,U}","original","original","latent","latent","original","original","original","original"
74,3,"cyclic","","reversed","original","latent","latent","original","original","original","original"
75,3,"non-identifiable","","latent","original","latent","latent","original","original","original","original"
76,3,"ok","{C,EC,H,P,T,U}","original","reversed","latent","latent","original","original","original","original"
77,4,"cyclic","","reversed","reversed","latent","latent","original","original","original","original"
78,4,"non-identifiable","","latent","reversed","latent","latent","original","original","original","original"
79,3,"ok","{C,EC,H,P,T,U}","original","latent","latent","latent","original","original","original","original"
80,4,"cyclic","","reversed","latent","latent","latent","original","original","original","original"
81,4,"non-identifiable","","latent","latent","latent","latent","original","original","original","original"
82,1,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,EC,H,T,U}","original","original","original","original","reversed","original","original","original"
83,2,"cyclic","","reversed","original","original","original","reversed","original","original","original"
84,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","original","original","original","reversed","original","original","original"
85,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,EC,H,T,U}","original","reversed","original","original","reversed","original","original","original"
86,3,"cyclic","","reversed","reversed","original","original","reversed","original","original","original"
87,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,H,T,U,U_AH}","latent","reversed","original","original","reversed","original","original","original"
88,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,EC,H,T,U}","original","latent","original","original","reversed","original","original","original"
89,3,"cyclic","","reversed","latent","original","original","reversed","original","original","original"
90,3,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH}","latent","latent","original","original","reversed","original","original","original"
91,2,"ok","{C,D,DC,EC,ED,H,N,NS,SC,SI,T} | {C,D,EC,ED,H,N,NS,SC,T,U} | {C,D,EC,ED,H,T,U,U_AH} | {C,EC,H,P,T,U}","original","original","reversed","original","reversed","original","original","original"
92,3,"cyclic","","reversed","original","reversed","original","reversed","original","original","original"
